value,name
http://dbpedia.org/resource/Abbie_Hoffman,Abbie Hoffman
http://dbpedia.org/resource/Adrienne_Rich,Adrienne Rich
http://dbpedia.org/resource/Alfred_Bester,Alfred Bester
http://dbpedia.org/resource/Alice_Walker,Alice Walker
http://dbpedia.org/resource/Andrew_Sarris,Andrew Sarris
http://dbpedia.org/resource/Carl_Sandburg,Carl Sandburg
http://dbpedia.org/resource/Damon_Knight,Damon Knight
http://dbpedia.org/resource/David_Foster_Wallace,David Foster Wallace
http://dbpedia.org/resource/David_Zindell,David Zindell
http://dbpedia.org/resource/Edna_Ferber,Edna Ferber
http://dbpedia.org/resource/Edward_Albee,Edward Albee
http://dbpedia.org/resource/Eric_Corley,Eric Corley
http://dbpedia.org/resource/Ezra_Pound,Ezra Pound
http://dbpedia.org/resource/Fredric_Brown,Fredric Brown
http://dbpedia.org/resource/Greg_Bear,Greg Bear
http://dbpedia.org/resource/Harry_Turtledove,Harry Turtledove
http://dbpedia.org/resource/Jack_London,Jack London
http://dbpedia.org/resource/Jack_McDevitt,Jack McDevitt
http://dbpedia.org/resource/John_Bellairs,John Bellairs
http://dbpedia.org/resource/John_Perry_Barlow,John Perry Barlow
http://dbpedia.org/resource/Kate_Chopin,Kate Chopin
http://dbpedia.org/resource/Kevin_J._Anderson,Kevin J. Anderson
http://dbpedia.org/resource/L._Sprague_de_Camp,L. Sprague de Camp
http://dbpedia.org/resource/L._Sprague_de_Camp,Lyon Sprague de Camp
http://dbpedia.org/resource/Lloyd_Alexander,Lloyd Alexander
http://dbpedia.org/resource/Marion_Zimmer_Bradley,Marion Zimmer Bradley
http://dbpedia.org/resource/Melvin_Kranzberg,Melvin Kranzberg
http://dbpedia.org/resource/Mercedes_Lackey,Mercedes Lackey
http://dbpedia.org/resource/Mildred_Benson,Mildred Benson
http://dbpedia.org/resource/Mildred_Benson,Mildred Wirt Benson
http://dbpedia.org/resource/Murray_Leinster,Murray Leinster
http://dbpedia.org/resource/O._Henry,O. Henry
http://dbpedia.org/resource/R._A._Lafferty,R. A. Lafferty
http://dbpedia.org/resource/Richard_Wright_(author),Richard Wright
http://dbpedia.org/resource/Robert_Asprin,Robert Asprin
http://dbpedia.org/resource/Robert_Asprin,Robert Lynn Asprin
http://dbpedia.org/resource/Robert_Ludlum,Robert Ludlum
http://dbpedia.org/resource/Roger_Ebert,Roger Ebert
http://dbpedia.org/resource/Roger_Zelazny,Roger Zelazny
http://dbpedia.org/resource/Sinclair_Lewis,Sinclair Lewis
http://dbpedia.org/resource/Stan_Rice,Stan Rice
http://dbpedia.org/resource/Tabitha_King,Tabitha King
http://dbpedia.org/resource/Terry_Brooks,Terry Brooks
http://dbpedia.org/resource/Theodore_Sturgeon,Theodore Sturgeon
http://dbpedia.org/resource/Tom_Clancy,Tom Clancy
http://dbpedia.org/resource/Toni_Morrison,Toni Morrison
http://dbpedia.org/resource/Valerie_Solanas,Valerie Solanas
http://dbpedia.org/resource/Victor_Davis_Hanson,Victor Davis Hanson
http://dbpedia.org/resource/Walker_Percy,Walker Percy
http://dbpedia.org/resource/Walt_Whitman,Walt Whitman
http://dbpedia.org/resource/William_Carlos_Williams,William Carlos Williams
http://dbpedia.org/resource/William_F._Nolan,William F. Nolan
http://dbpedia.org/resource/William_Faulkner,William Faulkner
http://dbpedia.org/resource/William_Gibson,William Gibson
http://dbpedia.org/resource/William_Goldman,William Goldman
http://dbpedia.org/resource/William_S._Burroughs,William S. Burroughs
http://dbpedia.org/resource/Zora_Neale_Hurston,Zora Neale Hurston
http://dbpedia.org/resource/Albert_Mannheimer,Albert Mannheimer
http://dbpedia.org/resource/Babaloo_Mandel,Babaloo Mandel
http://dbpedia.org/resource/Collin_Wilcox_(writer),Collin Wilcox
http://dbpedia.org/resource/David_Bradley_(novelist),David Bradley
http://dbpedia.org/resource/Gillian_Flynn,Gillian Flynn
http://dbpedia.org/resource/Hayden_Schlossberg,Hayden Schlossberg
http://dbpedia.org/resource/John_Grey_(screenwriter),John Grey
http://dbpedia.org/resource/Adrienne_Kennedy,Adrienne Kennedy
http://dbpedia.org/resource/Alex_Flinn,Alex Flinn
http://dbpedia.org/resource/Andy_Greenwald,Andy Greenwald
http://dbpedia.org/resource/Aram_Saroyan,Aram Saroyan
http://dbpedia.org/resource/Aravind_Enrique_Adyanthaya,Aravind Enrique Adyanthaya
http://dbpedia.org/resource/Brian_McNaughton,Brian McNaughton
http://dbpedia.org/resource/Charles_Frazier,Charles Frazier
http://dbpedia.org/resource/Chris_Browne,Chris Browne
http://dbpedia.org/resource/Colson_Whitehead,Colson Whitehead
http://dbpedia.org/resource/Daniel_Genis,Daniel Genis
http://dbpedia.org/resource/Daniel_Smith_(writer),Daniel Smith
http://dbpedia.org/resource/Dennis_Smith_(firefighter),Dennis Smith
http://dbpedia.org/resource/Douglas_Kennedy_(writer),Douglas Kennedy
http://dbpedia.org/resource/Edward_Jablonski,Edward Jablonski
http://dbpedia.org/resource/Elizabeth_Berg_(author),Elizabeth Berg
http://dbpedia.org/resource/George_Morgan_(screenwriter),George Morgan
http://dbpedia.org/resource/Greg_Dean_Schmitz,Greg Dean Schmitz
http://dbpedia.org/resource/Gregory_Poirier,Gregory Poirier
http://dbpedia.org/resource/Howard_Browne,Howard Browne
http://dbpedia.org/resource/James_Carroll_(author),James Carroll
http://dbpedia.org/resource/James_R._Benn,James R. Benn
http://dbpedia.org/resource/James_Welch_(writer),James Welch
http://dbpedia.org/resource/Jennifer_Roberson,Jennifer Roberson
http://dbpedia.org/resource/Jerry_Ellis_(author),Jerry Ellis
http://dbpedia.org/resource/Jill_Marie_Landis,Jill Marie Landis
